image_id,image_name,class_id,class_name,x,y,width,height,is_training,image_path
1,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,0,001.Black_footed_Albatross,60.0,27.0,325.0,304.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg
2,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,0,001.Black_footed_Albatross,139.0,30.0,153.0,264.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg
3,001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,0,001.Black_footed_Albatross,14.0,112.0,388.0,186.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg
4,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,0,001.Black_footed_Albatross,112.0,90.0,255.0,242.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg
5,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,0,001.Black_footed_Albatross,70.0,50.0,134.0,303.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg
6,001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,0,001.Black_footed_Albatross,33.0,53.0,251.0,395.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg
7,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,0,001.Black_footed_Albatross,7.0,75.0,420.0,262.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg
8,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,0,001.Black_footed_Albatross,78.0,86.0,333.0,158.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg
9,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,0,001.Black_footed_Albatross,112.0,76.0,221.0,189.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg
10,001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,0,001.Black_footed_Albatross,27.0,4.0,199.0,201.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg
11,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,0,001.Black_footed_Albatross,1.0,52.0,342.0,260.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg
12,001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,0,001.Black_footed_Albatross,47.0,21.0,179.0,249.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg
13,001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,0,001.Black_footed_Albatross,36.0,32.0,197.0,457.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg
14,001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,0,001.Black_footed_Albatross,37.0,40.0,262.0,184.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg
15,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,0,001.Black_footed_Albatross,23.0,80.0,395.0,237.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg
16,001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,0,001.Black_footed_Albatross,141.0,87.0,256.0,211.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg
17,001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,0,001.Black_footed_Albatross,40.0,38.0,254.0,209.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg
18,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,0,001.Black_footed_Albatross,45.0,58.0,254.0,249.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg
19,001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,0,001.Black_footed_Albatross,135.0,83.0,304.0,181.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg
20,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,0,001.Black_footed_Albatross,23.0,195.0,255.0,122.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg
21,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,0,001.Black_footed_Albatross,11.0,77.0,281.0,139.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg
22,001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,0,001.Black_footed_Albatross,5.0,4.0,210.0,130.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg
23,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,0,001.Black_footed_Albatross,154.0,93.0,188.0,165.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg
